entryDate,entryPrice,exitDate,exitPrice,pnl,volume,ratio
2017-06-22 10:00:00,3085.0,2017-06-23 22:27:00,3109.0,-286.8134,-1,-0.777957860616
2017-06-26 09:30:00,3113.0,2017-07-04 10:31:00,3362.0,2442.8775,1,7.99871506585
2017-07-04 11:15:00,3391.0,2017-07-04 22:31:00,3430.0,-437.5031,-1,-1.15010321439
2017-07-05 10:00:00,3431.0,2017-07-06 11:29:00,3360.0,-757.4701,1,-2.06936753133
2017-07-06 11:30:00,3362.0,2017-07-07 21:13:00,3436.0,-787.4778,-1,-2.2010707912
2017-07-10 09:30:00,3425.0,2017-07-11 09:20:00,3506.0,-857.6241,-1,-2.36496350365
2017-07-11 10:15:00,3528.0,2017-07-13 21:25:00,3572.0,392.19,1,1.24716553288
2017-07-14 14:30:00,3570.0,2017-07-20 11:10:00,3605.0,302.1075,1,0.980392156863
2017-07-20 11:15:00,3612.0,2017-07-21 21:02:00,3564.0,432.1064,-1,1.32890365449
2017-07-24 10:00:00,3491.0,2017-07-25 10:33:00,3573.0,-867.7704,-1,-2.34889716414
2017-07-26 10:45:00,3592.0,2017-07-28 21:10:00,3598.0,-107.909,-1,-0.167037861915
2017-07-31 09:30:00,3670.0,2017-08-01 21:01:00,3669.0,-58.0729,1,-0.0272479564033
2017-08-02 11:00:00,3730.0,2017-08-03 10:15:00,3778.0,-528.2588,-1,-1.28686327078
2017-08-03 14:00:00,3772.0,2017-08-08 13:31:00,4017.0,2401.4321,1,6.49522799576
2017-08-08 14:30:00,4039.0,2017-08-09 14:48:00,3991.0,431.167,-1,1.18841297351
2017-08-09 15:00:00,3994.0,2017-08-11 10:53:00,3873.0,-1258.6537,1,-3.02954431647
2017-08-14 09:30:00,3883.0,2017-08-14 22:10:00,3760.0,-1278.4073,1,-3.16765387587
2017-08-15 09:30:00,3717.0,2017-08-17 09:01:00,3808.0,-958.2775,-1,-2.44821092279
2017-08-17 09:30:00,3838.0,2017-08-22 21:03:00,3877.0,341.5135,1,1.016154247
2017-08-23 13:45:00,3785.0,2017-08-28 09:01:00,3832.0,421.6213,1,1.24174372523
2017-08-28 11:00:00,3840.0,2017-08-31 14:31:00,3905.0,-698.5195,-1,-1.69270833333
2017-09-01 11:30:00,4023.0,2017-09-04 10:55:00,4064.0,361.1043,1,1.01913994531
2017-09-05 10:45:00,4076.0,2017-09-11 21:37:00,3959.0,1121.1615,-1,2.87046123651
2017-09-12 09:45:00,3926.0,2017-09-13 10:01:00,3995.0,-738.7131,-1,-1.75751400917
2017-09-13 10:45:00,3954.0,2017-09-26 09:57:00,3629.0,3201.6587,-1,8.21952453212
2017-09-26 14:15:00,3625.0,2017-09-27 21:01:00,3690.0,-698.0465,-1,-1.79310344828
2017-09-28 13:45:00,3602.0,2017-10-09 21:03:00,3667.0,602.0041,1,1.8045530261
2017-10-10 09:30:00,3633.0,2017-10-10 21:17:00,3520.0,-1177.8683,1,-3.11037709882
2017-10-11 13:45:00,3583.0,2017-10-12 14:31:00,3626.0,-477.9299,-1,-1.20011163829
2017-10-12 14:45:00,3675.0,2017-10-16 22:55:00,3752.0,721.8303,1,2.09523809524
2017-10-17 10:00:00,3750.0,2017-10-20 10:51:00,3678.0,671.8292,-1,1.92
2017-10-20 14:00:00,3741.0,2017-10-20 22:25:00,3656.0,-898.1367,1,-2.27211975408
2017-10-23 09:30:00,3728.0,2017-10-25 11:20:00,3705.0,-278.1763,1,-0.6169527897
2017-10-26 09:30:00,3672.0,2017-10-31 13:33:00,3631.0,361.9667,-1,1.1165577342
2017-10-31 13:45:00,3637.0,2017-11-01 14:58:00,3567.0,-747.9244,1,-1.92466318394
2017-11-02 09:30:00,3623.0,2017-11-09 11:30:00,3733.0,1051.9084,1,3.03615788021
2017-11-09 15:00:00,3770.0,2017-11-10 21:42:00,3742.0,-328.2632,1,-0.742705570292
2017-11-13 10:45:00,3768.0,2017-11-20 14:19:00,3699.0,641.7863,-1,1.83121019108
2017-11-21 09:30:00,3727.0,2017-11-23 21:01:00,3773.0,411.75,1,1.23423665146
2017-11-24 09:30:00,3793.0,2017-12-01 09:43:00,3959.0,1611.4728,1,4.37648299499
2017-12-01 14:15:00,3971.0,2017-12-05 14:29:00,4013.0,371.2176,1,1.05766809368
2017-12-05 14:30:00,4018.0,2017-12-08 11:26:00,3856.0,1571.3386,-1,4.0318566451
2017-12-08 13:45:00,3895.0,2017-12-12 14:14:00,3884.0,-158.5569,1,-0.282413350449
2017-12-12 14:15:00,3884.0,2017-12-15 22:28:00,3856.0,231.486,-1,0.720906282183
2017-12-18 09:30:00,3886.0,2017-12-19 13:36:00,3793.0,-978.4469,1,-2.39320638188
2017-12-19 14:15:00,3787.0,2017-12-20 21:30:00,3849.0,-668.3996,-1,-1.63717982572
2017-12-21 10:45:00,3843.0,2017-12-21 22:34:00,3911.0,-728.5294,-1,-1.76945094978
2017-12-22 09:30:00,3917.0,2017-12-25 09:01:00,3862.0,-598.5569,1,-1.40413581823
2017-12-25 11:00:00,3858.0,2017-12-28 22:54:00,3815.0,381.5597,-1,1.11456713323
2017-12-29 14:00:00,3792.0,2017-12-29 15:00:00,3794.0,-68.3446,-1,-0.0527426160338
